CARDINAL,DATE,NORP,ORG,GPE,EVENT,WORK_OF_ART,PERSON,ORDINAL,MONEY,LAW,QUANTITY,TIME,PRODUCT,FAC,LOC
364,next day,this Kleptocratic Nazi,Dell Technologies,India,9833426158 https://t.co/fBYQmNt5eh,Dear Dell,Vani S,first,2500,XPS 13,40 km,over 4 hours,P57f,USA Volleyball,Europe
395,mid December,Diwali,IGNORE,Bodepudi, , ,MODEMS ETC,secondly,#Day19 #,Order No. and Service Request no., ,two hours,🏻‍,n’t NEED DELL,Tweet
43,early November,tec,Dell,Penang, , ,JUNK BEWARE,16th,597, , ,24 Hours,a Task Sequence, , 
244,a span of 10 months,dem,Dell Service Center,LAPTOPS/, , ,⁦⁩ ⁦⁩,fifth,1230, , ,over 24 hours,XPS 9550, , 
413,10 days,Unhappy,WhatsApp,https://t.co/RaPncnMpmO, , ,https://t.co/lmt5DelZ5G,3rd,99, , ,60 seconds, , , 
346,103 days,indian,Dell Advantage/Rewards,China, , ,MDOA,Firstly,#norefund #noproduct #, , ,hours, , , 
596,every single day, ,https://t.co/8YleBEnpVa,UK, , ,https://t.co/zqEleqncab,1st,#dell #, , ,this morning, , , 
240,last week, ,Inspiron 3511,🤷, , ,Screens,fourth,70, , ,24-48 hours, , , 
66,the span of 5 months, ,Please,nirvana, , ,sta, ,157537616, , , , , , 
94,almost ten days, ,Update, , , ,Twitter, ,#SCAM, , , , , , 
374,these 5 days, ,CompuTrace, , , ,Glad, ,2, , , , , , 
14,13-01-23, ,STag, , , ,Guru Harkishan Nagar, ,160, , , , , , 
2/6,Next day, ,Associates, , , ,BIOS, ,100, , , , , , 
8,the first week, ,AC, , , ,Mouse Combo, ,1980, , , , , , 
552,21 working days, ,PS You, , , ,https://t.co/FzUUPI8b37, ,750, , , , , , 
399,4 years ago, ,Laptop, , , ,Gift Card, , , , , , , , 
three,two days, ,Blair Dubilier &amp, , , ,Bhiwani Haryana, , , , , , , , 
511,between 8 to 10th, ,PS Paschim West, , , ,Ac, , , , , , , , 
257,last 2 years, ,Dell BIOS Update, , , ,Premium Support, , , , , , , , 
2day,2700, ,Need Hire Command Please, , , ,Nov, , , , , , , , 
345,10th November, ,Solve, , , ,https://t.co/6QrRH7VZru, , , , , , , , 
406,4 DAYS AGO, ,DM, , , ,x3, , , , , , , , 
23,9690441107, ,BYE, , , ,Buyed  Dell, , , , , , , , 
220,3510, ,Reliance Digital Store, , , ,ya fuckin, , , , , , , , 
71,past 50 days, ,TERRIBLE, , , ,customerexperience, , , , , , , , 
9370,2022, ,Repair, , , ,Chrome, , , , , , , , 
21,the beginning of the month, ,LMAO, , , ,Ambience Mall Gurgaon, , , , , , , , 
445,3 month old, ,EXCHANGE, , , ,https://t.co/LHKn4pNpOk, , , , , , , , 
594,this New Year, ,Lenovo, , , ,G15, , , , , , , , 
539,one year back, ,BIOS, , , ,Audio, , , , , , , , 
377,7-8 months, ,XPS, , , ,https://t.co/U4Nskc81dt, , , , , , , , 
533,past 3 days, ,BRO, , , , , , , , , , , , 
81,the month of March 2022, ,the Laptop &, , , , , , , , , , , , 
more than 3times,days, ,dell repair services, , , , , , , , , , , , 
56,less than 20 days, ,💼 Planning, , , , , , , , , , , , 
282,this year, ,Dell Inspiron 1545, , , , , , , , , , , , 
84,Thanksgiving, ,DELL, , , , , , , , , , , , 
20,April, ,PLS, , , , , , , , , , , , 
32,17th November, ,Dell Authority, , , , , , , , , , , , 
441,almost one month, ,INSTRUCTIONS INCOMPREHENSIBLE INSIPID BRIGHTNESSIS, , , , , , , , , , , , 
427,3 MONTHS, ,LOL, , , , , , , , , , , , 
285,3511, ,Dell Technical Support, , , , , , , , , , , , 
363,close to 6 months, ,RT : 🚚 Waiting, , , , , , , , , , , , 
555,November, ,McDonald's, , , , , , , , , , , , 
28,decades-old, ,Dell Inspiron 5570, , , , , , , , , , , , 
582,7 days, ,Dell Laptop, , , , , , , , , , , , 
308,today, ,REFURBISHED/OLD, , , , , , , , , , , , 
269,155611754, ,al, , , , , , , , , , , , 
355,nearly two years, ,Edge, , , , , , , , , , , , 
206,two months, ,OBVIOUSLY, , , , , , , , , , , , 
3,year, ,HOUSE, , , , , , , , , , , , 
almost 2mnths,29th October, ,Inspiron, , , , , , , , , , , , 
52,4y, ,Dell Social Media, , , , , , , , , , , , 
4yrs,december 27th, ,SCCM Thid, , , , , , , , , , , , 
387,every few days, ,UNIVERSE, , , , , , , , , , , , 
302,tomorrow, ,PITS, , , , , , , , , , , , 
12/27,Black Friday, ,Dell Inspiron 5000, , , , , , , , , , , , 
1,July, ,Maximize, , , , , , , , , , , , 
25,the last 12 days, ,DPD, , , , , , , , , , , , 
75,# 04435218656, ,Vostro 3510, , , , , , , , , , , , 
16,1454 2in1, ,Dell Command Update, , , , , , , , , , , , 
432,15 days, ,Dell La, , , , , , , , , , , , 
22,the last 3 months, ,UNFORTUNATELY, , , , , , , , , , , , 
327,Monday, ,https://t.co/PKaufYSL6j, , , , , , , , , , , , 
11,5months ago, ,Credit Card, , , , , , , , , , , , 
4,6 weeks, ,Time, , , , , , , , , , , , 
585,the other day, ,MB, , , , , , , , , , , , 
267,last ten days, ,H2O system, , , , , , , , , , , , 
#,7 Days, ,CC, , , , , , , , , , , , 
325,3660 3 months ago, ,REQUEST, , , , , , , , , , , , 
205,Tuesday, ,ASAP, , , , , , , , , , , , 
595,2 yrs ago, , , , , , , , , , , , , , 
557,157180878, , , , , , , , , , , , , , 
415,one year, , , , , , , , , , , , , , 
90K.,2000, , , , , , , , , , , , , , 
215,8:31A. 2nd, , , , , , , , , , , , , , 
249,2 weeks, , , , , , , , , , , , , , 
5511,Today is 13th, , , , , , , , , , , , , , 
5,154796397, , , , , , , , , , , , , , 
253,last year, , , , , , , , , , , , , , 
542,2 week ago, , , , , , , , , , , , , , 
513,two months ago, , , , , , , , , , , , , , 
2years,3 months, , , , , , , , , , , , , , 
410,10089, , , , , , , , , , , , , , 
428,yesterday, , , , , , , , , , , , , , 
381,earlier this week, , , , , , , , , , , , , , 
99,October 2022, , , , , , , , , , , , , , 
two,3 days, , , , , , , , , , , , , , 
504,almost 3 months, , , , , , , , , , , , , , 
one,months, , , , , , , , , , , , , , 
446,a message 4 days ago, , , , , , , , , , , , , , 
1-800-288-4410,November 2021, , , , , , , , , , , , , , 
520,Christmas, , , , , , , , , , , , , , 
38,the New year, , , , , , , , , , , , , , 
3252, , , , , , , , , , , , , , , 
230, , , , , , , , , , , , , , , 
8LLZYP3, , , , , , , , , , , , , , , 
73, , , , , , , , , , , , , , , 
989, , , , , , , , , , , , , , , 
2, , , , , , , , , , , , , , , 
64, , , , , , , , , , , , , , , 
287, , , , , , , , , , , , , , , 
97, , , , , , , , , , , , , , , 
One, , , , , , , , , , , , , , , 
591, , , , , , , , , , , , , , , 
74, , , , , , , , , , , , , , , 
5months, , , , , , , , , , , , , , , 
360, , , , , , , , , , , , , , , 
46, , , , , , , , , , , , , , , 
440, , , , , , , , , , , , , , , 
379, , , , , , , , , , , , , , , 
372, , , , , , , , , , , , , , , 
258, , , , , , , , , , , , , , , 
7, , , , , , , , , , , , , , , 
271, , , , , , , , , , , , , , , 
30, , , , , , , , , , , , , , , 
222, , , , , , , , , , , , , , , 
309, , , , , , , , , , , , , , , 
331, , , , , , , , , , , , , , , 
300, , , , , , , , , , , , , , , 
61, , , , , , , , , , , , , , , 
577, , , , , , , , , , , , , , , 
82, , , , , , , , , , , , , , , 
584, , , , , , , , , , , , , , , 
