CARDINAL,DATE,NORP,ORG,GPE,EVENT,WORK_OF_ART,PERSON,ORDINAL,MONEY,LAW,QUANTITY,TIME,PRODUCT,FAC,LOC
432,almost ten days,dem,Dell Advantage/Rewards,India,9833426158 https://t.co/fBYQmNt5eh,Dear Dell,x3,first,160,XPS 13,40 km,hours,🏻‍,USA Volleyball,Tweet
504,tomorrow,Diwali,Dell Inspiron 5570,UK, , ,Mouse Combo,secondly,597,Order No. and Service Request no., ,24 Hours,XPS 9550,n’t NEED DELL,Europe
5511,past 50 days,this Kleptocratic Nazi,Dell Command Update,Bodepudi, , ,Ac,Firstly,100, , ,60 seconds,a Task Sequence, , 
582,Today is 13th,indian,CompuTrace,https://t.co/RaPncnMpmO, , ,Twitter,1st,2, , ,over 24 hours,P57f, , 
220,13-01-23,Unhappy,McDonald's,China, , ,BIOS,fourth,#SCAM, , ,this morning, , , 
308,Next day,tec,Laptop,🤷, , ,Buyed  Dell,16th,157537616, , ,two hours, , , 
81,the last 12 days, ,INSTRUCTIONS INCOMPREHENSIBLE INSIPID BRIGHTNESSIS,LAPTOPS/, , ,https://t.co/6QrRH7VZru,3rd,1230, , ,24-48 hours, , , 
25,the first week, ,Please,nirvana, , ,MODEMS ETC,fifth,#dell #, , ,over 4 hours, , , 
two,2 week ago, ,Inspiron,Penang, , ,⁦⁩ ⁦⁩, ,1980, , , , , , 
52,2700, ,Repair, , , ,Nov, ,2500, , , , , , 
56,year, ,REFURBISHED/OLD, , , ,Glad, ,#Day19 #, , , , , , 
46,7 days, ,Edge, , , ,Premium Support, ,750, , , , , , 
379,Black Friday, ,PITS, , , ,sta, ,99, , , , , , 
331,10089, ,SCCM Thid, , , ,MDOA, ,70, , , , , , 
2,10 days, ,PS Paschim West, , , ,Audio, ,#norefund #noproduct #, , , , , , 
#,two months ago, ,BIOS, , , ,Guru Harkishan Nagar, , , , , , , , 
591,4y, ,Dell Inspiron 1545, , , ,Vani S, , , , , , , , 
8,today, ,Vostro 3510, , , ,G15, , , , , , , , 
552,two months, ,BYE, , , ,https://t.co/zqEleqncab, , , , , , , , 
446,last year, ,DELL, , , ,ya fuckin, , , , , , , , 
7,this year, ,REQUEST, , , ,https://t.co/U4Nskc81dt, , , , , , , , 
43,past 3 days, ,Maximize, , , ,Gift Card, , , , , , , , 
302,April, ,PS You, , , ,JUNK BEWARE, , , , , , , , 
1-800-288-4410,mid December, ,Solve, , , ,https://t.co/LHKn4pNpOk, , , , , , , , 
215,Monday, ,OBVIOUSLY, , , ,https://t.co/FzUUPI8b37, , , , , , , , 
355,Christmas, ,Blair Dubilier &amp, , , ,Screens, , , , , , , , 
14,decades-old, ,Dell, , , ,Chrome, , , , , , , , 
21,29th October, ,the Laptop &, , , ,customerexperience, , , , , , , , 
