CARDINAL,DATE,ORG,GPE,PERSON,PRODUCT,NORP,ORDINAL,TIME,MONEY,QUANTITY,EVENT,FAC,LOC
K,next day,Dell India,ulhasnagar,Vani S,Command Update,Austinite,first,over 4 hours,2500,4K,Diwali,Guru Harkishan Nagar,Europe
364,mid December,Dell Technologies,warnty,Dell,a Dell XPS 13,indian,secondly,two hours,597,40 km,Thanksgiving,Ambience Mall, 
395,16th dec 2022,Absolute Software,India,DELL,windows 7, ,fifth,last 20 mins,1230, ,this New Year, , 
43,early November,Dell,DELL UK,JUNK BEWARE,Latitude, ,3rd,24 Hours,99, , , , 
244,10 days,Dell Service Center,Penang,danica,CompuTrace, ,1st,60 seconds,INR 9300, , , , 
413,103 days,&,China,Yiannis,SupportAssist, ,fourth,hours,70, , , , 
346,every single day,SCCM,UK,.Ajay  Bodepudi,#, , ,24 hours,almost £1000, , , , 
596,last week,upi,Gurgaon,Adeoye,X1 Gen9 14, , ,this morning,2, , , , 
240,almost ten days,Alienware,America,Robert,Laptop, , ,between 8:30 and 8:31A. 2nd,160, , , , 
94,2day,dell care,Bhiwani Haryana,BRO,vostro, , ,24-48 hours,100, , , , 
374,these 5 days,Absolute, ,Dawn,XPS 9550, , , ,Rs. 10089, , , , 
14,13-01-23,MDOA, ,Suraj,XPS, , , ,1980, , , , 
2/6,Next day,#, ,RT,an Inspiron 14, , , ,750, , , , 
8,4yrs old,Windows, , ,G15 5515 Ryzen 5, , , , , , , , 
552,the first week,Vostro, , ,i7, , , , , , , , 
399,21 working days,dell sme, , ,inspiron 3252, , , , , , , , 
three,4 years ago,Reliance Digital Store, , ,3511 i5(silver, , , , , , , , 
511,a matter of days,alienware, , ,syatem, , , , , , , , 
257,nearly two years back,USA Volleyball, , ,G15 5521, , , , , , , , 
345,two days,HP, , ,P57f, , , , , , , , 
406,between 8 to 10th,H2O system solutions dell, , ,3511, , , , , , , , 
23,last 2 years,Lenovo, , ,s3, , , , , , , , 
220,4 DAYS AGO,XPS, , ,XPS 13 Plus, , , , , , , , 
71,past 50 days,hw, , ,Edge, , , , , , , , 
9370,the beginning of the month,Pleas, , ,Inspiron, , , , , , , , 
21,3 month old,whatwever, , ,#Windows Snap Layout Groups, , , , , , , , 
445,one year back,Dell Pro Support, , ,Chrome, , , , , , , , 
594,7-8 months,RT, , ,my XPS 13, , , , , , , , 
539,past 3 days,Dell Techsupport, , ,g15 5511, , , , , , , , 
2700,the month of March 2022,DELL, , ,3660, , , , , , , , 
377,less than 20 days,Dell Authority, , ,MB, , , , , , , , 
533,this year,tec support, , ,3510, , , , , , , , 
81,April,Blair Dubilier &amp; Associates, , ,FC4VML3, , , , , , , , 
more than 3times,4 days ago,Dell Technical Support, , ,Inspiron 1545, , , , , , , , 
56,17th November,ARM, , ,Wireless Keyboard and Mouse Combo, , , , , , , , 
282,almost one month,alk, , ,Inspiron 5000 series, , , , , , , , 
84,3 MONTHS,Wen, , ,G15, , , , , , , , 
32,almost 2mnths,Dells, , ,Windows 11, , , , , , , , 
000,fortnite,cust care, , ,5570, , , , , , , , 
441,close to 6 months,dell, , , , , , , , , , , 
427,3 months ago,Inspiron, , , , , , , , , , , 
285,November,#dell India, , , , , , , , , , , 
363,7 days,Dell Social Media, , , , , , , , , , , 
555,today,DPD, , , , , , , , , , , 
28,two months,windows, , , , , , , , , , , 
582,29th October,customer care, , , , , , , , , , , 
308,Today,Dell La, , , , , , , , , , , 
269,10th November. 2022,dis, , , , , , , , , , , 
04435218656,december 27th,Credit Card, , , , , , , , , , , 
355,5 months,McDonald, , , , , , , , , , , 
206,24/7,CC, , , , , , , , , , , 
3,every few days,PayPal, , , , , , , , , , , 
52,tomorrow,Care ADP, , , , , , , , , , , 
387,decades,WhatsApp, , , , , , , , , , , 
302,July, , , , , , , , , , , , 
#157537616,the last 12 days, , , , , , , , , , , , 
155611754,15 days, , , , , , , , , , , , 
12/27,13th, , , , , , , , , , , , 
1,10 months, , , , , , , , , , , , 
25,the last 3 months, , , , , , , , , , , , 
75,Nov, , , , , , , , , , , , 
16,Monday, , , , , , , , , , , , 
432,22 dec 2022, , , , , , , , , , , , 
22,5months ago, , , , , , , , , , , , 
327,6 weeks, , , , , , , , , , , , 
11,the other day, , , , , , , , , , , , 
4,sum days, , , , , , , , , , , , 
585,last ten days, , , , , , , , , , , , 
267,7 Days, , , , , , , , , , , , 
325,Tuesday, , , , , , , , , , , , 
205,2years i.e..., , , , , , , , , , , , 
595,2 yrs ago, , , , , , , , , , , , 
557,the 16th, , , , , , , , , , , , 
415,one year, , , , , , , , , , , , 
215,2 weeks, , , , , , , , , , , , 
249,these 5months, , , , , , , , , , , , 
542,last year, , , , , , , , , , , , 
