CARDINAL,DATE,ORG,GPE,PERSON,PRODUCT,NORP,ORDINAL,TIME,MONEY,QUANTITY,EVENT,FAC,LOC
432,2years i.e...,dell care,Gurgaon,.Ajay  Bodepudi,#Windows Snap Layout Groups,indian,first,hours,99,4K,this New Year,Ambience Mall,Europe
504,almost ten days,USA Volleyball,India,JUNK BEWARE,CompuTrace,Austinite,secondly,24 Hours,597,40 km,Diwali,Guru Harkishan Nagar, 
582,tomorrow,Inspiron,UK,Dell,Command Update, ,1st,between 8:30 and 8:31A. 2nd,100, ,Thanksgiving, , 
220,past 50 days,Wen,DELL UK,Adeoye,3660, ,fourth,60 seconds,2, , , , 
308,13-01-23,H2O system solutions dell,Bhiwani Haryana,Robert,Laptop, ,3rd,two hours,1230, , , , 
81,Next day,windows,warnty,Yiannis,inspiron 3252, ,fifth,this morning,Rs. 10089, , , , 
2700,the last 12 days,PayPal,China,RT,Inspiron, , ,last 20 mins,2500, , , , 
25,the first week,tec support,ulhasnagar,Vani S,Edge, , ,24 hours,1980, , , , 
two,2 week ago,DELL,America,Suraj,X1 Gen9 14, , ,24-48 hours,160, , , , 
52,these 5months,alk,Penang,danica,XPS 9550, , ,over 4 hours,750, , , , 
56,7 days,Vostro, ,Dawn,Inspiron 1545, , , ,almost £1000, , , , 
46,10 days,Dell, ,DELL,G15 5515 Ryzen 5, , , ,70, , , , 
379,two months ago,Dell Techsupport, ,BRO,g15 5511, , , ,INR 9300, , , , 
331,today,CC, , ,Windows 11, , , , , , , , 
2,two months,XPS, , ,XPS, , , , , , , , 
591,last year,Dell La, , ,my XPS 13, , , , , , , , 
#157537616,16th dec 2022,#, , ,#, , , , , , , , 
8,22 dec 2022,Lenovo, , ,a Dell XPS 13, , , , , , , , 
552,this year,MDOA, , ,XPS 13 Plus, , , , , , , , 
446,13th,Dell Service Center, , ,P57f, , , , , , , , 
7,past 3 days,Care ADP, , ,Latitude, , , , , , , , 
43,April,customer care, , ,G15 5521, , , , , , , , 
302,mid December,dell, , ,Inspiron 5000 series, , , , , , , , 
215,Early Black Friday,hw, , ,windows 7, , , , , , , , 
355,Monday,ARM, , ,5570, , , , , , , , 
14,Christmas,Absolute Software, , ,G15, , , , , , , , 
21,29th October,DPD, , ,3511, , , , , , , , 
346,sum days,Dell Technical Support, , ,s3, , , , , , , , 
387,decades,Credit Card, , ,MB, , , , , , , , 
533,Nov,Blair Dubilier &amp; Associates, , ,3510, , , , , , , , 
374,7-8 months,&, , ,vostro, , , , , , , , 
61,yesterday,Pleas, , ,SupportAssist, , , , , , , , 
75,17th November,whatwever, , ,syatem, , , , , , , , 
three,15 days,RT, , ,Chrome, , , , , , , , 
595,one year,Dell India, , ,i7, , , , , , , , 
381,every few days,HP, , ,FC4VML3, , , , , , , , 
269,earlier this week,upi, , ,3511 i5(silver, , , , , , , , 
206,5 months,#dell India, , ,Wireless Keyboard and Mouse Combo, , , , , , , , 
542,the other day,Dell Authority, , ,an Inspiron 14, , , , , , , , 
596,between 8 to 10th,Windows, , , , , , , , , , , 
440,last ten days,Absolute, , , , , , , , , , , 
585,last week,Dell Social Media, , , , , , , , , , , 
557,one year back,SCCM, , , , , , , , , , , 
327,103 days,dell sme, , , , , , , , , , , 
363,4 years ago,Reliance Digital Store, , , , , , , , , , , 
267,3 MONTHS,McDonald, , , , , , , , , , , 
1-800-288-,less than 20 days,Dells, , , , , , , , , , , 
285,10th November. 2022,cust care, , , , , , , , , , , 
300,3 days,alienware, , , , , , , , , , , 
555,the beginning of the month,WhatsApp, , , , , , , , , , , 
1,2day,Dell Technologies, , , , , , , , , , , 
28,3 month old,Alienware, , , , , , , , , , , 
11,over a month,Dell Pro Support, , , , , , , , , , , 
One,Tuesday,dis, , , , , , , , , , , 
249,early November, , , , , , , , , , , , 
154796397,nearly two years back, , , , , , , , , , , , 
82,last 2 years, , , , , , , , , , , , 
520,3 months, , , , , , , , , , , , 
222,the month of March 2022, , , , , , , , , , , , 
282,30, , , , , , , , , , , , 
372,7 Days, , , , , , , , , , , , 
399,November, , , , , , , , , , , , 
989,4 DAYS AGO, , , , , , , , , , , , 
more than 3times,10 months, , , , , , , , , , , , 
413,21 working days, , , , , , , , , , , , 
441,5months ago, , , , , , , , , , , , 
16,4yrs old, , , , , , , , , , , , 
2000,November 2021, , , , , , , , , , , , 
74,6 weeks, , , , , , , , , , , , 
410,almost 3 months, , , , , , , , , , , , 
511,almost one month, , , , , , , , , , , , 
427,Today, , , , , , , , , , , , 
71,two days, , , , , , , , , , , , 
240,July, , , , , , , , , , , , 
97,3 months ago, , , , , , , , , , , , 
406,2 weeks, , , , , , , , , , , , 
253,24/7, , , , , , , , , , , , 
23,2 yrs ago, , , , , , , , , , , , 
258,close to 6 months, , , , , , , , , , , , 
32,the New year, , , , , , , , , , , , 
428,these 5 days, , , , , , , , , , , , 
364,a matter of days, , , , , , , , , , , , 
594,every single day, , , , , , , , , , , , 
244,december 27th, , , , , , , , , , , , 
38,4 days ago, , , , , , , , , , , , 
155611754,the 16th, , , , , , , , , , , , 
513,the last 3 months, , , , , , , , , , , , 
04435218656,October 2022, , , , , , , , , , , , 
415,almost 2mnths, , , , , , , , , , , , 
94,fortnite, , , , , , , , , , , , 
3,next day, , , , , , , , , , , , 
360, , , , , , , , , , , , , 
345, , , , , , , , , , , , , 
257, , , , , , , , , , , , , 
000, , , , , , , , , , , , , 
539, , , , , , , , , , , , , 
205, , , , , , , , , , , , , 
1454 2in1, , , , , , , , , , , , , 
287, , , , , , , , , , , , , 
84, , , , , , , , , , , , , 
2/6, , , , , , , , , , , , , 
4, , , , , , , , , , , , , 
325, , , , , , , , , , , , , 
445, , , , , , , , , , , , , 
12/27, , , , , , , , , , , , , 
395, , , , , , , , , , , , , 
64, , , , , , , , , , , , , 
73, , , , , , , , , , , , , 
271, , , , , , , , , , , , , 
K, , , , , , , , , , , , , 
99, , , , , , , , , , , , , 
309, , , , , , , , , , , , , 
230, , , , , , , , , , , , , 
22, , , , , , , , , , , , , 
one, , , , , , , , , , , , , 
584, , , , , , , , , , , , , 
9370, , , , , , , , , , , , , 
377, , , , , , , , , , , , , 
