CARDINAL,DATE,ORG,GPE,PRODUCT,PERCENT,NORP,MONEY,TIME,ORDINAL,PERSON,QUANTITY,EVENT,LOC,FAC,WORK_OF_ART,LAW
almost 15,last week,Twitter,mumbai,Inspiron 3501,10%,french,2000 rupees,24 Hours,Second,Hisham,16GB,bday,Europe,Ambience Mall,#TheGroundhogDay,the Trade Descriptions Act
8,almost two months,Help,Bhiwani Haryana,my XPS 13, ,indian,8,5 hour,5th,Alex B,8gb,#blackfriday2022,Guru Harkishan Nagar,M3,Partner, 
"75,689",1 year old,Leptop,ulhasnagar,Windows 10, ,Lunar,£120 GBP,around 20 min,third,danica,4K,Diwali, , , , 
2/6,over a week,Uniswap,Canada,Bitlocker, ,Austinite,99,every hour,secondly,Philip,40 km,Groundhog Day, , , , 
5,5 months back,WhatsApp,US,an Inspiron 14, , ,2500,2 hours,Firstly,Arzaan Rashid,multi million pound,this New Year, , , , 
7,mid December,Dell Rewards,UK,AW2723DF, , ,377,last 24 hours,first,Ajeyrohith,14”,puechase, , , , 
200,09/19/2022,Wen,Solapur Maharashtra,Inspiron 5480 AIO, , ,1000,this morning,fifth,Betty,720m, , , , , 
One,4 DAYS AGO,EU,Secunderabad,3512, , ,1200,between 11:30 and 13:30,1st,Harish Kumar,4GB, , , , , 
#157537616,10th November. 2022,dis,Gurgaon,R15, , ,160,24hrs,4th,Mitch,1tb empty space, , , , , 
6,only a few months,DELL,INDIA,ProSupport Plus, , ,60k,3-5 hour,fourth,Deepali Singasane, , , , , , 
1-800-288-4410,next day,Dell Costumer Support,ET AL,Nayasa, , ,71,100s of hours,First,Will, , , , , , 
three,7 Days,TOUCHPAD,Germany,dell vostro 3510, , ,Rs 499,two hours,second,Dawn, , , , , , 
16,4 days ago,dell care,America,hp, , ,70,3 hours,3rd,Adeoye, , , , , , 
K,21 working days,Croma,India,a Precision 3630, , ,400,Good morning, ,Vani S, , , , , , 
73,6 weeks,dell Services,China,dell, , ,150 dollar,90 minutes, ,BRO, , , , , , 
04435218656,the last 4 days,NVIDIA,Penang,dell vastro 3400, , ,597,half hour, ,Robert, , , , , , 
154262910,Dec 16,dell,DELL UK,Headphones, , ,More than $200k,next 48 hours, ,DELL, , , , , , 
five,the holidays,Faulty,Hyderabad,windows 7, , ,10089,"between 12:00 - 16:00, just had", ,Estali, , , , , , 
0800 587 1456,past 3 days,alk, ,3660, , ,1980,48 hours, ,jesus, , , , , , 
one,Oct 2021,Intel, ,FC4VML3, , ,Rs 50 lakh,2p CT, ,ALIENHACKS, , , , , , 
155611754,Early Black Friday,UPS, ,syatem, , ,60,7 am – 12 am CST, ,Rishabh Pal, , , , , , 
11,89 year old,Customer Care, ,the Inspiron 16 Plus, , ,750,at least 30 hour, ,nitesh singh, , , , , , 
3,3 days,Moontune, ,PS5, , ,8909,24 hours, ,dell, , , , , , 
4,last 2 years,dell sme, ,an XPS 15, , ,"2,500",60 seconds, ,Julie, , , , , , 
23,6th December,Blair Dubilier &amp; Associates, ,Vostro, , ,"10,000",many hrs, ,Suraj, , , , , , 
4:,Dec 7,Amazon, ,SupportAssist, , ,Rs6726,hours, ,Todd, , , , , , 
2.26,one year old,Dells, ,XPS 17, , ,821,last 20 mins, ,JUNK BEWARE, , , , , , 
three to four,this day?Did,Vostro, ,may dell Inspiron 3583, , ,"100,000",5mins check, ,Anton, , , , , , 
2700,Next day,Sennheiser, ,harddisk, , ,INR 9300,morning, ,Dell, , , , , , 
"74,989",a week later,Dell Technical Support, ,X1 Gen9, , ,almost £1000,every 30 seconds, ,TY, , , , , , 
"110,000",days,the consumer forum, ,XPS 13, , ,1200 euros,5 mins, ,Peggy, , , , , , 
more than 3times,this month,Reliance Digital Store, ,a 1tb 980 EVO, , ,"more than 4.5kUSD.
",this afternoon, ,.Ajay  Bodepudi, , , , , , 
154895371,6 months,Reseller, ,Monitor P2422HE, , ,1230,our service opening hours, ,Yiannis, , , , , , 
2.,3-yr,YouTube, ,8LLZYP3, , , ,five hours, ,Dombivli, , , , , , 
.,the New year,windows, ,a Samsung GalaxyBook2 Pro, , , ,over 4 hours, , , , , , , , 
1/2,two months,HP, ,Inno &, , , ,over an hour ago, , , , , , , , 
two,10 days,the Dell Neighborhood, ,Display Manager 2, , , ,24-48 hours, , , , , , , , 
1114735028,the 7th day in a row,cust care, ,Command Update, , , ,few seconds, , , , , , , , 
