CARDINAL,DATE,NORP,ORG,GPE,PERSON,EVENT,WORK_OF_ART,MONEY,PRODUCT,PERCENT,TIME,ORDINAL,LAW,FAC,QUANTITY,LOC
2,2008335797503,https://t.co/MGhbwAynB9,https://t.co/8YleBEnpVa,Bodepudi,Email,Inspiron 3501,Download the OS Recovery Tool,#DellSupportFail,me!Technician,10%,5 hour,fourth,xps 9360 64bit,DellIndia,40 km,TouchPad
2p,past 10 year,Unhappy,UNIVERSE,US,ya fuckin,9833426158 https://t.co/fBYQmNt5eh,Dear Dell,"2,500",P57f, ,over an hour ago,second,Windows 11,USA Volleyball, ,Europe
4090,two weeks later,tec,Dell Inspiron 1545,E2016HV,FraudAlert, ,Access Denied,631691580,Learn, ,7 am – 12 am,Firstly,Inspirion 15 3000,DellSupport, ,the Sign Language
5000,# 04435218656,dem,TRIEDTO REPAIR,⁄in※,Gift, ,Blackfriday,#dellServiceCenter,Twitter, ,90 minutes,1st,Order No. and Service Request no.,n’t NEED DELL, ,Tweet
23,14 Nov,this Kleptocratic Nazi,Dell Inspiron,Vijay,Hahaha, ,🤣 Have a nice day,597,DellNeighborhood, ,3-5 hour,Second,XPS 13, , , 
16,Almost 10 days,indian,the TS Running,https://t.co/RaPncnMpmO,https://t.co/Y6jGGD97BY motherboard, ,Love Lenovo,120,G3 15, ,five hours,fifth,Rs 50, , , 
Only 1,2 weeks ago,Freezes,Repair,https://t.co/zVC1rod2jz,Deepali Singasane, ,Dear #,377,OD326803155907767100, ,2 hours,16th,the Trade Descriptions Act, , , 
9833426158,157265180,Windows,FraudAlert,Penang,Hisham, , ,#drivers,DellTech, ,this morning,First,XPS 13’s, , , 
1,last 7 year,Diwali,DenyiedSupport,HW,Chrome, , ,#norefund #noproduct #,LOL Hello, ,few seconds,3rd,Inspiron 14 5420, , , 
3252,579593375,https://t.co/RDctFS51md,WhatsApp,XPS13,Bitlocker, , ,157537616,XPS 9550, ,morning,5th,XPS 17, , , 
7,past 3 days,french,Engineer,mumbai,MDOA, , ,400,"DellCares
 ", ,hours,8th, , , , 
more than 3times,20 nov,https://t.co/hpvahEf1xj,Time,Exporte,Fabulous, , ,#Dell,T440, ,every 30 seconds,third, , , , 
4yrs,today, ,https://t.co/7DFF6QFJJ4,GB,Philip, , ,"100,000",🏻‍, ,100s of hours,first, , , , 
8,13-01-23, ,Inno &gt,Thankyou,Moontune, , ,#dell #,Task Mgr, ,24 Hours,secondly, , , , 
8LLZYP3,160246371, ,SoC,nirvana,god forsaken people, , ,18.8d104b17.1672241641.3b5976fc,Premium Support Plus, ,next 48 hours,4th, , , , 
2/6,2 months, ,HInges,Germany,Anton, , ,750,Rs 499, ,3 hours, , , , , 
2day,first day, ,Dell Service Center,https://t.co/2BAoTTnYWA,G15, , ,160,a Task Sequence, ,last 24 hours, , , , , 
5,the 29th Nov., ,66NSNJ3,UK,https://t.co/w9INWLq9fr, , ,70,M3M, ,at least 30 hour, , , , , 
15,6 months, ,REQUEST,singh,Glad, , ,99,G15 5525, ,between 11:30 and 13:30, , , , , 
#,12 day, ,Associates,"Oct 2022
",Audio Jack, , ,1230,Express Code:15005385507, ,this afternoon, , , , , 
17/11,the past six months, ,Dell Technical Support,Canada,Lol, , ,#DellTips, , ,48 hours, , , , , 
"74,989",434711418, ,TERRIBLE,Dell,Agradezco, , ,#delldoesnotcare #, , ,over 4 hours, , , , , 
3,year, ,SENT ET AL,https://t.co/KIkVjD4ZD1,https://t.co/lYbM7lJlj9, , ,More than $, , ,half hour, , , , , 
1200,Yesterday, ,"Deactivate
Disable 
Activated",OSDDoNotLogCommand https://t.co/znIi6qTNUV,https://t.co/U4Nskc81dt, , ,#dellsucks #, , ,two hours, , , , , 
5mins,one year, ,PS Paschim West,https://t.co/XAFfxWTLGJ,🧹, , ,60, , ,over 24 hours, , , , , 
4/1/22,two months, ,https://t.co/vxUOrIEuS2,Lunar,Very Lethargic, , ,2500, , ,24-48 hours, , , , , 
4,January, ,POST,🤷,https://t.co/zqEleqncab, , ,1980, , ,60 seconds, , , , , 
1/2,last 2 years, ,the System BIOS,Dell13,BIOS, , ,delldoesNOTcare, , ,every hour, , , , , 
26,26th June, ,Dell Laptop,China,https://t.co/FzUUPI8b37, , ,#BoycottDell, , ,12:00 - 16:00, , , , , 
https://t.co/DUDFWAQDuE,16th December, ,Instagram,Suraj,Reseller, , ,#Day19 #, , , , , , , , 
11,mid December, ,4th Nov,🙁,Robert, , ,#SCAM, , , , , , , , 
2x,one month, ,WTF,IA,Wifi, , ,#DellTech #, , , , , , , , 
19th,this month, ,LMAO,India,Buyed  Dell, , ,#DELL #, , , , , , , , 
three,4 DAYS AGO, ,Dell Display,IM,customerexperience, , ,71, , , , , , , , 
24hrs,3 MONTHS, ,84435359863 Service tag:7NR5G33 Service,LAPTOPS/,sta, , ,8, , , , , , , , 
20,Day 11, ,UNACCEPTABLE, ,https://t.co/6QrRH7VZru, , ,150 dollar, , , , , , , , 
3400,the 16th, ,Dell Inspiron 5570, ,Help, , ,#DellTips #, , , , , , , , 
i5-1240P.,July, ,Becauee, ,Bhiwani Haryana, , ,"10,000", , , , , , , , 
17,October 2022, ,YouTube, ,Premium Support, , ,$, , , , , , , , 
"110,000","17th November,", ,LCD, ,🔬 Lea, , ,#Day20 #, , , , , , , , 
5months,Just after 3 days, ,PowerEdge, ,https://t.co/30eQvxGeC1, , ,dell, , , , , , , , 
2000,over 3 months, ,sale &amp, ,🤔, , ,#DataLoss #, , , , , , , , 
90K.,1 month, ,New Laptop, ,Gift Card, , , , , , , , , , , 
one,every few days, ,INSTRUCTIONS INCOMPREHENSIBLE INSIPID BRIGHTNESSIS, ,Mouse Combo, , , , , , , , , , , 
5420-,5months ago, ,Dell Computer, ,Kumar, , , , , , , , , , , 
five,the day, ,deaf &amp, ,x3, , , , , , , , , , , 
1-800-288-4410,4 days ago, ,the Laptop &, ,Leptop, , , , , , , , , , , 
One,a message 4 days ago, ,OBVIOUSLY, ,Twitter, , , , , , , , , , , 
64bit,early November, ,Guys See, ,Alex B, , , , , , , , , , , 
50%share,last year, ,EMI, ,Coustomer, , , , , , , , , , , 
2years,almost ten days, ,ETP, ,Case, , , , , , , , , , , 
almost 15,two months ago, ,FRIEND, ,Vani S, , , , , , , , , , , 
OD326803151907767100,160490233, ,DM, ,https://t.co/lB5wFFMnAO, , , , , , , , , , , 
5410,1454 2in1, ,DELL, ,https://t.co/R2joV0pwvW, , , , , , , , , , , 
870,two days, ,Dell Service Tag, ,JUNK BEWARE, , , , , , , , , , , 
"75,689",less than 1 year old, ,https://t.co/3r2FHVQnom, ,https://t.co/lmt5DelZ5G, , , , , , , , , , , 
Re.1,over a month, ,Dell Precision, ,Dell Support, , , , , , , , , , , 
22,close to 6 months, ,CM, ,Buyed Dell Laptop, , , , , , , , , , , 
9,a day, ,IP, ,NEED ANY, , , , , , , , , , , 
three to four,15 3511, ,HERE, ,Croma, , , , , , , , , , , 
13 9360,40 days, ,al, ,Blank, , , , , , , , , , , 
73,Sunday, ,dell repair services, ,Nayasa, , , , , , , , , , , 
720,17 days, ,Amazon, ,Solapur Maharashtra, , , , , , , , , , , 
200,the other day, ,dell Services, ,Gurgaon, , , , , , , , , , , 
almost 2mnths,Monday to Friday, ,SR, ,Audio, , , , , , , , , , , 
8XHBLG3,13 Jan 2023, ,NSIS, ,blackfriday2022, , , , , , , , , , , 
6,16 days, ,BRO, ,Motherboard, , , , , , , , , , , 
more than 4.5kUSD,15 days, ,Dell Inspiron 3501, ,https://t.co/jdnkJQ3aIw, , , , , , , , , , , 
5511,7620, ,SME, ,⁦⁩ ⁦⁩, , , , , , , , , , , 
OVER 300,5, ,STag, ,"kuch_tho_sharm_karo
  ", , , , , , , , , , , 
271122WO735867,45 days, ,Inspiron 14 5420, ,https://t.co, , , , , , , , , , , 
2.26,November, ,VT-x &, ,Guru Harkishan Nagar, , , , , , , , , , , 
two,154262910, ,BIOS, ,Julie, , , , , , , , , , , 
94YNFD3,2 weeks, ,G-Sync, ,Screens, , , , , , , , , , , 
1.x,10 days, ,Inspiron 3511, ,Alienware, , , , , , , , , , , 
2/3,between 8 to 10th, ,Credit Card, ,Ambience Mall Gurgaon, , , , , , , , , , , 
almost £1000,57 days, ,Solve, ,https://t.co/2Yyb, , , , , , , , , , , 
1/3,2 years back, ,Customer Service, ,Ac, , , , , , , , , , , 
10,27-11-2022, ,IVR SYSTEM, ,https://t.co/xLhJZ6acvw, , , , , , , , , , , 
14,this New Year, ,BYE, ,Sennheiser Headset, , , , , , , , , , , 
30-40,past 50 days, ,Fed, ,https://t.co/LHKn4pNpOk, , , , , , , , , , , 
821,"November 2021,within", ,https://t.co/BW6lxzyfSt, ,LoJack, , , , , , , , , , , 
 ,Jan 2023, ,CPU, ,Ajeyrohith, , , , , , , , , , , 
 ,Christmas, ,Dell Inspiron 16, ,Arzaan Rashid, , , , , , , , , , , 
 ,Nov 14th, ,cmos, ,Dell Vostro, , , , , , , , , , , 
 ,3511, ,Dell Technicians, ,Dell, , , , , , , , , , , 
 ,1 year old, ,Dell Authority, ,MODEMS ETC, , , , , , , , , , , 
 ,Monday, ,Please, ,09/19/2022, , , , , , , , , , , 
 ,1114735028, ,persists &, ,https://t.co/MUkVmzZeyK, , , , , , , , , , , 
 ,2 week ago, ,the S3422DWG DELL MONITOR, ,Investigate, , , , , , , , , , , 
 ,2 days, ,Update, ,Nov, , , , , , , , , , , 
 ,the last week, ,Dell La, , , , , , , , , , , , , 
 ,the 7th day in a row, ,Blair Dubilier &amp, , , , , , , , , , , , , 
 ,the last 3 months, ,UNFORTUNATELY, , , , , , , , , , , , , 
 ,21 days, ,Dell Inspiron 5000, , , , , , , , , , , , , 
 ,154319491, ,Inspiron 5480 AIO, , , , , , , , , , , , , 
 ,last week, ,Legion, , , , , , , , , , , , , 
 ,almost every day, ,CS, , , , , , , , , , , , , 
 ,every 10 days, ,Dell Monitor P2422HE, , , , , , , , , , , , , 
 ,the span of 5 months, ,R15, , , , , , , , , , , , , 
 ,1st Feb 2023, ,TB, , , , , , , , , , , , , 
 ,one week, ,"🙏🙏
Take", , , , , , , , , , , , , 
 ,3 months old, ,Vostro 3510, , , , , , , , , , , , , 
 ,less than 20 days, ,Dell BIOS Update, , , , , , , , , , , , , 
 ,earlier this week, ,https://t.co/82ReIGL14v, , , , , , , , , , , , , 
 ,5570, ,50dys &, , , , , , , , , , , , , 
 ,the previous 8 days, ,McDonald's, , , , , , , , , , , , , 
 ,155856044, ,CompuTrace, , , , , , , , , , , , , 
 ,5 weeks later, ,REFURBISHED/OLD, , , , , , , , , , , , , 
 ,2700, ,Dell Social Media, , , , , , , , , , , , , 
 ,4 month, ,Maximize, , , , , , , , , , , , , 
 ,another 2 days, ,XPS, , , , , , , , , , , , , 
 ,almost one month, ,Order, , , , , , , , , , , , , 
 ,April, ,Headphones, , , , , , , , , , , , , 
 ,three days, ,Dell Canada System, , , , , , , , , , , , , 
 ,9th December, ,BACK, , , , , , , , , , , , , 
 ,3510, ,EU, , , , , , , , , , , , , 
 ,the last 3 to 4 months, ,Dell Command Update, , , , , , , , , , , , , 
 ,11/12/2021, ,DPD, , , , , , , , , , , , , 
 ,the month of March 2022, ,ZERO, , , , , , , , , , , , , 
 ,21 sept, ,Please DM, , , , , , , , , , , , , 
 ,last one month, ,LOL, , , , , , , , , , , , , 
 ,8:31A. 2nd, ,Microsoft, , , , , , , , , , , , , 
 ,"30
Years", ,XPS Laptop, , , , , , , , , , , , , 
 ,the beginning of the month, ,Reliance Digital Store, , , , , , , , , , , , , 
 ,months, ,Dell Costumer Support, , , , , , , , , , , , , 
 ,a week ago, ,💼 Planning, , , , , , , , , , , , , 
 ,a year, ,Flipkart, , , , , , , , , , , , , 
 ,30-40 days, ,https://t.co/PKaufYSL6j, , , , , , , , , , , , , 
 ,Day 6, ,ETA, , , , , , , , , , , , , 
 ,almost two months, ,Lower panel &amp, , , , , , , , , , , , , 
 ,annual, ,RT : 🚚 Waiting, , , , , , , , , , , , , 
 ,just 1 month, ,Dell India, , , , , , , , , , , , , 
 ,2000, ,cancelling &amp, , , , , , , , , , , , , 
 ,"7th Nov, 2022", ,BULLRUN SZN, , , , , , , , , , , , , 
 ,157457938, ,the Dell Command Service Tag, , , , , , , , , , , , , 
 ,Black Friday, ,NBD, , , , , , , , , , , , , 
 ,2 day, ,ASAP, , , , , , , , , , , , , 
 ,the first week, ,Laptop Battery, , , , , , , , , , , , , 
 ,the last 4 days, ,Intel, , , , , , , , , , , , , 
 ,0800 587 1456, ,PS You, , , , , , , , , , , , , 
 ,that day, ,Twitter DM, , , , , , , , , , , , , 
 ,21 working days, ,INTEL, , , , , , , , , , , , , 
 ,only a few months, ,SCCM Thid, , , , , , , , , , , , , 
 ,the New year, ,RefundDenied, , , , , , , , , , , , , 
 ,tomorrow, ,SSD, , , , , , , , , , , , , 
 ,2022, ,USB, , , , , , , , , , , , , 
 ,more than a year, ,EPT, , , , , , , , , , , , , 
 ,Dec 21st, ,Lenovo, , , , , , , , , , , , , 
 ,Nov. 19th, ,PITS, , , , , , , , , , , , , 
 ,almost 3 months, ,RAM, , , , , , , , , , , , , 
 ,Dec 8, ,Dell Social Media Support Team, , , , , , , , , , , , , 
 ,yesterday, ,Question 2 &, , , , , , , , , , , , , 
 ,next year, ,HOUSE, , , , , , , , , , , , , 
 ,april first week -till, ,Invoice of Rs 8909, , , , , , , , , , , , , 
 ,5 days ago, ,Delayed Support &amp;, , , , , , , , , , , , , 
 ,Dec 16, ,Dell Outlet, , , , , , , , , , , , , 
 ,155611754, ,AC, , , , , , , , , , , , , 
 ,last 5 year, ,Dell Rewards, , , , , , , , , , , , , 
 ,these 5 days, ,Edge, , , , , , , , , , , , , 
 ,last 18 days, ,Desktop inspiron3891, , , , , , , , , , , , , 
 ,"14 5410,it", ,COVID, , , , , , , , , , , , , 
 ,7 Days, ,Dell G7, , , , , , , , , , , , , 
 ,Dec 9, ,Need Hire Command Please, , , , , , , , , , , , , 
 ,9690441107, ,EXCHANGE, , , , , , , , , , , , , 
 ,more than 2 weeks, ,Incident, , , , , , , , , , , , , 
 ,more than two days, ,Laptop, , , , , , , , , , , , , 
 ,13463459103, ,H2O system, , , , , , , , , , , , , 
 ,Friday, ,MSP, , , , , , , , , , , , , 
 ,5 month, ,cmon, , , , , , , , , , , , , 
