CARDINAL,DATE,ORG,GPE,PRODUCT,PERCENT,NORP,MONEY,TIME,ORDINAL,PERSON,QUANTITY,EVENT,LOC,FAC,WORK_OF_ART,LAW
73,past 10 year,apple,Germany,inspiron 15 3000 Touchpad,10%,Austinite,"2,500",5 hour,fourth,Estali,multi million pound,this New Year,Europe,Ambience Mall,Partner,the Trade Descriptions Act
631691580,two weeks later,WhatsApp,Bhiwani Haryana,an Inspiron 14, ,indian,597,our service opening hours,second,nitesh singh,1tb empty space,puechase,Guru Harkishan Nagar,M3,#TheGroundhogDay, 
2,14 Nov,Teams,DELL UK,Inspiron 15 3511 Touch Pad, ,Lunar,377,between 8:30 and 8:31A. 2nd,Firstly,DELL,14”,bday, , , , 
154262910,Almost 10 days,Absolute Software,Penang,PS5, ,french,1200 euros,over an hour ago,1st,Julie,8gb,Diwali, , , , 
one,2 weeks ago,Dell Service Center,ET AL,"Windows 11,12th Gen", , ,1200,many hrs,Second,Rishabh Pal,40 km,Groundhog Day, , , , 
0800 587 1456,this day?Did,Dell Technical Support,US,XPS13, , ,2000 rupees,90 minutes,fifth,Dombivli,720m,#blackfriday2022, , , , 
200,last 7 year,Windows,UK,AW3423DW, , ,400,3-5 hour,First,Alex B,16GB, , , , , 
five,decades,DellTech,mumbai,Inspiron 3525, , ,"100,000",five hours,3rd,Vani S,4GB, , , , , 
1-800-288-4410,past 3 days,DCU,Canada,Windows, , ,750,1 hr,5th,Yiannis,4K, , , , , 
One,4th Dec.,ARM,Hyderabad,Chrome, , ,160,2 hours,third,Deepali Singasane, , , , , , 
3,20 nov,MDOA,China,Bitlocker, , ,10089,this morning,first,Will, , , , , , 
"74,989",today,Moontune,America,X1 Gen9, , ,70,few seconds,secondly,JUNK BEWARE, , , , , , 
160246371,13-01-23,YouTube,Gurgaon,8LLZYP3, , ,99,morning,4th,BRO, , , , , , 
1114735028,2 months,PowerEdge,Solapur Maharashtra,Task Mgr, , ,1230,hours, ,Hisham, , , , , , 
4,first day,SCCM,INDIA,G15, , ,60,24 hours, ,jesus, , , , , , 
155611754,the 29th Nov.,Ram,India,SupportAssist, , ,60k,every 30 seconds, ,Harish Kumar, , , , , , 
4-5,6 months,Dell Computer,ulhasnagar,Inspiron 16 7610, , ,2500,7 am – 12 am CST, ,Dawn, , , , , , 
1/2,12 day,dell,Secunderabad,dell, , ,1980,2p CT, ,.Ajay  Bodepudi, , , , , , 
23,the past six months,Pleas, ,windows 11, , ,Rs 50 lakh,100s of hours, ,Robert, , , , , , 
434711418,year,J K HIGH COURT, ,#Windows11, , ,INR 9300,24 Hours, ,Philip, , , , , , 
16,Yesterday,DELL, ,Purolator, , ,71,next 48 hours, ,Betty, , , , , , 
11,one year,Customer Care, ,a Precision 3630, , ,8,3 hours, ,Ajeyrohith, , , , , , 
#157537616,two months,Sennheiser, ,harddisk, , ,almost £1000,around 20 min, ,Arzaan Rashid, , , , , , 
2.,January,Vijay Sales, ,the Inspirion 15 3000, , ,150 dollar,last 24 hours, ,Adeoye, , , , , , 
154796397,Blackfriday,Wen, ,ProSupport Plus, , ,Rs6726,at least 30 hour, ,Dell, , , , , , 
1,last 2 years,Delloffer, ,#, , ,1000,between 11:30 and 13:30, ,ALIENHACKS, , , , , , 
OVER 300,26th June,Enterprise Customer Care, ,G15 5521, , ,"10,000",this afternoon, ,Anton, , , , , , 
6,a nice day,alk, ,windows 10 Pro OS 32bit, , ,Rs 499,5 mins, ,TY, , , , , , 
7,16th December,Dell Pro Support, ,P57f, , ,8909,24hrs, ,Mitch, , , , , , 
2.26,"17th November, 2022",Amazon, ,3511, , ,More than $200k,5mins check, ,Suraj, , , , , , 
almost 15,THE FIRST DAYS,dell Services, ,Inspiron 1545, , ,821,48 hours, ,danica, , , , , , 
two,mid December,Blair Dubilier &amp; Associates, ,G3 15, , ,"more than 4.5kUSD.
",over 4 hours, ,dell, , , , , , 
2700,one month,NSIS, ,XPS 13 9360 la, , ,£120 GBP,Good morning, ,Todd, , , , , , 
more than 3times,this month,PayPal, ,920H, , , ,half hour, ,Peggy, , , , , , 
three,4 DAYS AGO,cust care, ,XPS 13 Plus, , , ,two hours, , , , , , , , 
04435218656,3 MONTHS,Reseller, ,INTEL 5, , , ,24-48 hours, , , , , , , , 
"157361629

",4th Nov,flipkartsupport, ,the OS Recovery Tool, , , ,60 seconds, , , , , , , , 
154895371,Day 11,McDonald, ,Inspiron 14 5420, , , ,every hour, , , , , , , , 
8,the 16th,Help, ,2x, , , ,last 20 mins, , , , , , , , 
"75,689",July,H2O system solutions dell, ,Inspiron 15, , , ,"between 12:00 - 16:00, just had", , , , , , , , 
4:,October 2022,Premium Support Plus, ,Inspiron 3593, , , , , , , , , , , , 
1454 2in1,over 3 months,Dell Authority, ,5570, , , , , , , , , , , , 
2/6,1 month,titanfall, ,Latitude, , , , , , , , , , , , 
:157457938,every few days,#dell India, ,G15 5515 Ryzen 5, , , , , , , , , , , , 
"110,000",5months ago,dpduk, ,a Dell XPS 13, , , , , , , , , , , , 
three to four,the day,windows, ,Thunderbolt, , , , , , , , , , , , 
.,4 days ago,Dell La, ,3510, , , , , , , , , , , , 
K,early November,the Dell Neighborhood, ,i5-1240P., , , , , , , , , , , , 
5,last year,Legion, ,Window 11, , , , , , , , , , , , 
2000,almost ten days,Leptop, ,Premium Support Plus, , , , , , , , , , , , 
 ,two months ago,HP, ,XPS 13 9360, , , , , , , , , , , , 
 ,less than 1 year old,Dells, ,Inno &, , , , , , , , , , , , 
 ,two days,Twitter, ,the S3422DWG DELL MONITOR, , , , , , , , , , , , 
 ,40 days,TOUCHPAD, ,windows 7, , , , , , , , , , , , 
 ,over a month,Absolute, ,a Samsung GalaxyBook2 Pro, , , , , , , , , , , , 
 ,close to 6 months,evo, ,FC4VML3, , , , , , , , , , , , 
 ,a day,Dell Social Media, ,B4QTR33, , , , , , , , , , , , 
 ,2day,XPS, ,Inspiron 5480 AIO, , , , , , , , , , , , 
 ,sum days,dell sme, ,a 1tb 980 EVO, , , , , , , , , , , , 
 ,fortnite,Dell Canada System, ,#SupportAssist, , , , , , , , , , , , 
 ,Dec 7,dell care, ,Witcher3, , , , , , , , , , , , 
 ,Sunday,EU, ,syatem, , , , , , , , , , , , 
 ,17 days,&, ,vostro 7620, , , , , , , , , , , , 
 ,the other day,DPD, ,w10, , , , , , , , , , , , 
 ,Monday to Friday,Uniswap, ,R15, , , , , , , , , , , , 
